### Table from https://cccbdb.nist.gov/hf0k.asp
Species,Name,Enthalpy,Reference,DOI
HOF,"Hypofluorous acid",-94.0,Gurvich,
H2F2,"Hydrogen fluoride dimer",-566.5,Gurvich,
CH3F,"Methyl fluoride",-247.0,Gurvich,
Na2,"Sodium diatomic",144.6,JANAF,
NaF,"sodium fluoride",-288.8,JANAF,
NaLi,"lithium sodium",178.9,1977Zmb/Wu:4603,10.1063/1.434621
NaO,"sodium monoxide",85.0,JANAF,
NaOH,"sodium hydroxide",-187.4,JANAF,
Mg2,"Magnesium diatomic",288.2,JANAF,
MgF,"Magnesium monofluoride",-231.8,Gurvich,
MgO,"magnesium oxide",151.0,1989OPE/TEW9152,10.1021/ja00208a002
MgOH,"magnesium hydroxide",-92.0,1989OPE/TEW9152,10.1021/ja00208a002
Al2,"Aluminum diatomic",525.9,1990Fu/Lem:8420,10.1063/1.459280
AlF,"Aluminum monofluoride",-265.6,JANAF,
AlN,"Aluminum nitride",438.4,Gurvich,
AlO,"Aluminum monoxide",67.0,JANAF,
Si2,"Silicon diatomic",580.0,Gurvich,
SiF,"silicon monofluoride",-27.1,Gurvich,
SiN,"Silicon nitride",402.5,Gurvich,
SiO,"Silicon monoxide",-101.6,JANAF,
SiH3F,monofluorosilane,-367.2,JANAF,
CP,"Carbon monophosphide",517.9,Gurvich,
P2,"Phosphorus diatomic",145.8,CODATA,10.1002/bbpc.19900940121
PF,"phosphorus monofluoride",-51.3,JANAF,
PN,"Phosphorus mononitride",172.5,Gurvich,
PO,"Phosphorus monoxide",-27.5,Gurvich,
HCP,Phosphaethyne,213.5,JANAF,
HPO,"Hydrogen phosphorus oxide",-53.0,Gurvich,
CH2PH,Phosphaethene,-281.8,webbook,10.18434/T4D303
P2H4,Diphosphine,-12.5,webbook,10.18434/T4D303
AlS,"Aluminum sulfide",232.6,Gurvich,
BeS,"beryllium sulfide",261.0,JANAF,
BS,"boron sulfide",240.0,JANAF,
CS,"carbon monosulfide",273.2,1979Ela/Ber:5151,10.1063/1.437355
